[2026-06-22T01:59:24.340Z] GET http://172.19.97.28:8236/src/roguelike/onboard.js → 200 (?ms, 22150B)
[2026-06-22T01:59:24.340Z] GET http://172.19.97.28:8236/src/roguelike/travel.js → 200 (?ms, 16267B)
[2026-06-22T01:59:24.341Z] GET http://172.19.97.28:8236/src/roguelike/event.js → 200 (?ms, 21531B)
[2026-06-22T01:59:24.341Z] GET http://172.19.97.28:8236/src/roguelike/terrain.js → 200 (6ms, 9525B)
[2026-06-22T01:59:24.347Z] GET http://172.19.97.28:8236/src/roguelike/lab.js → 200 (?ms, 16548B)
[2026-06-22T01:59:24.347Z] GET http://172.19.97.28:8236/src/roguelike/feel.js → 200 (?ms, 7035B)
[2026-06-22T01:59:24.347Z] GET http://172.19.97.28:8236/src/roguelike/playtest-bot.js → 200 (?ms, 11343B)
[2026-06-22T01:59:24.347Z] GET http://172.19.97.28:8236/src/roguelike/perf-hud.js → 200 (?ms, 4589B)
[2026-06-22T01:59:24.347Z] GET http://172.19.97.28:8236/src/cam-debug.js → 200 (?ms, 11681B)
[2026-06-22T01:59:24.347Z] GET http://172.19.97.28:8236/src/roguelike/seqtest.js → 200 (?ms, 3979B)
[2026-06-22T01:59:24.348Z] GET http://172.19.97.28:8236/src/roguelike/testjump.js → 200 (?ms, 10254B)
[2026-06-22T01:59:24.348Z] GET http://172.19.97.28:8236/src/roguelike/galaxy.js → 200 (?ms, 14134B)
[2026-06-22T01:59:24.348Z] GET http://172.19.97.28:8236/src/roguelike/atlas-homesystem.js → 200 (?ms, 6841B)
[2026-06-22T01:59:24.348Z] GET http://172.19.97.28:8236/src/roguelike/atlas-fields.js → 200 (?ms, 6953B)
[2026-06-22T01:59:24.348Z] GET http://172.19.97.28:8236/src/roguelike/atlas-fields2.js → 200 (?ms, 10279B)
[2026-06-22T01:59:24.348Z] GET http://172.19.97.28:8236/src/roguelike/atlas-creatures.js → 200 (?ms, 8512B)
[2026-06-22T01:59:24.348Z] GET http://172.19.97.28:8236/src/roguelike/atlas-relics.js → 200 (?ms, 4544B)
[2026-06-22T01:59:24.348Z] GET http://172.19.97.28:8236/src/roguelike/atlas-portals.js → 200 (?ms, 4271B)
[2026-06-22T01:59:24.348Z] GET http://172.19.97.28:8236/src/roguelike/atlas-onlyup.js → 200 (?ms, 3438B)
[2026-06-22T01:59:24.348Z] GET http://172.19.97.28:8236/src/roguelike/atlas-climb.js → 200 (?ms, 7240B)
[2026-06-22T01:59:24.348Z] GET http://172.19.97.28:8236/src/roguelike/atlas-blocks.js → 200 (?ms, 12012B)
[2026-06-22T01:59:24.348Z] GET http://172.19.97.28:8236/src/roguelike/atlas-objects.js → 200 (?ms, 6272B)
[2026-06-22T01:59:24.348Z] GET http://172.19.97.28:8236/src/roguelike/atlas-setpieces.js → 200 (?ms, 7016B)
[2026-06-22T01:59:24.348Z] GET http://172.19.97.28:8236/src/main.js → 200 (2ms, 9711B)
[2026-06-22T01:59:24.352Z] GET http://172.19.97.28:8236/assets/lunar_lander.png → 200 (?ms, ?B)
[2026-06-22T01:59:24.352Z] GET http://172.19.97.28:8236/assets/plants/cactus_1.png → 200 (?ms, ?B)
[2026-06-22T01:59:24.352Z] GET http://172.19.97.28:8236/assets/plants/cactus_2.png → 200 (?ms, ?B)
[2026-06-22T01:59:24.352Z] GET http://172.19.97.28:8236/assets/plants/agave_small.png → 200 (?ms, ?B)
[2026-06-22T01:59:24.352Z] GET http://172.19.97.28:8236/assets/plants/barrel_cactus_flowering.png → 200 (?ms, ?B)
